BRZYGZ,BSML,BYY,BZ,CJ,CJL,CJSJ,CLFZSJ,CLNJSJ,CS,CY,CZJSJ,CZWT,DC,DS300Z,DS3Z,DS600Z,FSCSJ,FZGZSJ,GJ,GJSJ,GLLYL,HBR,HJQXZSJ,HKYH,HNSJ,HSL,HYSJ,HZTSJ,JC,JDGSJ,JG,JH,JHR,JS,JY,KHYSJ,KZX,LJJC,LJSJ,LXJSYSJ,MBWQS,MD,MMZS,MSZJ,MT,NBHD,ND,PHZ,PL,PSSD,PZS,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,QCJS,QL10F,QTSJ,QXCW,QXDHTZ,QXGJ,QXJC,QXQSJS,QXZSJ,QXZZJS,QYS,RQ,SBR,SCGC,SCSJ,SGSJ,SHL,SHLDDYY,SYSJ,SZDC,SZGSJ,TF,XH,XHNJSJ,XJ,XJ0,XJ1,XLSJ,XRJS,XTGSJ,YXCD,YXMS,YXZJ,ZBR,ZBY,ZCMS,ZGSFSD,ZJSD,ZJSJHJ,ZJSS,ZRTGSJ,ZS,ZS1,ZTBH,ZTCC,ZTCJ,ZTCSSJ,ZTGF,ZTJJZS,ZTLX,ZTSFSD,ZTSML,ZTXH,ZTYJ,ZY,ZZTGSJ,1
,3.5,,T:1.11,ËÄ´¨,233.9700012,,,,121,,18:36,,,,,,,,180,,,,2.5,7.5,,,,,73.45999908,,,°Í21,,,,,4.7566667,,,,,1.13,,J3,,,,,63,114,,,,,,,73.45999908,,,,Y4,,,,2:30,,,,,,,,,,,Î÷³Ç,,,1,,,,,,0,,,ÄàÑÒ,,,13,Z2,0.400000006,,16.6,,,4.42530115,67,,444.5,,,,3.950000048,P3,,547,1,8.800000191,80,,1
,3.599999905,,1.17,,248.6999969,,,,121,,27:22:00,,,,,,,,180,,,,3.5,2.599999905,,,,,207.5400009,,,°Í21,,,,1:00,4.7566667,,,,,1.13,,J1,,,,,63,121,,,,,,,281,,,,Y1,,,,3:30,,,,,,,,,,,»ðÑæÉ½,,,2,,,,,,73.45999908,,,ÄàÑÒ,,,15,Z1,0.400000006,,27.3666,,,7.583696949,117,,444.5,,,,7.579999924,X22,,584,2,12.30000019,150,,1
,6.300000191,,1.33,½­ºº,250.1000061,,,,121,,38:52:00,,,,,,,,180,,,,3.15,3,,,,,473,,,°Í21,,,,1:00,4.7566667,,,,,1.33,,J1,,,,,60,137,,,,,,,754,,,,Y1,,,,3:09,,,,,,,,,,,Æë¹Å×é,,,3,,,,,,281,,,ÄàÑÒ,,,18,Z1,1,,38.86666,,,12.16981341,117,,311,,,,12.17000008,J11,,482,3,15.10000038,150,,1
,6.099999905,,1.37,½­ºº,218,,,,121,,56:26:00,,,,,,,,180,,,,7.83333,13.10000038,,,,,254,,,°Í21,,,,,4.7566667,,,,,1.39,,J1,,,,,60,124,,,,,,,1008,,,,Y1,,,,7:50,,,,,,,,,,,Æß¿ÍÌ¨,,,4,,,,,,754,,,ÄàÑÒ,,,18,Z2,1,,56.43333,,,4.500886267,206,,311,,,,4.489999771,J22,,476,4,5.5,200,,1
,5.900000095,,1.38,½­ºº,219,,,,121,,13:19,,,,,,,,180,,,,10.5,12.80000019,,,,,95.31005859,,,°Í21,,,,,4.7566667,,,,,1.37,,J1,,,,,60,123,,,,,,,1103.310059,,,,Y1,,,,10:30,,,,,,,,,,,Æß¿ÍÌ¨,,,5,,,,,,1008,,,ÄàÑÒ,,,19,Z1,1,,13.316666,,,7.157201254,206,,311,,,,7,J11,,474,5,6.099999905,200,,1
,16.22999954,,1.27,½­ºº,266,,,,98,,75:21:00,,,,,,,,180,,,,6.5,6.400000095,,,,,381.4799805,,,°Í21,,,,,4.7566667,,,,,1.37,,J2,,,,,38,142,,,,,,,1482.790039,,,,Y2,,,,6:30,,,,,,,,,,,Èý¼ä·¿,,,6,,,,,,1101.310059,,,ÄàÑÒ,,,18,Z1,1.580000043,,75.35,,,5.062773463,117,,216,,,,5.059999943,J22,,613,6,12.10000038,150,,1
,16.70000076,,"²àÐ±Æð×ê , 1.27",½­ºº,265,,,,98,,25:47:00,,,,,,,,180,,,,10.5,5.699999809,,,,,46.77001953,,,°Í21,,,,2:30,4.7566667,,,,,1.24,,J1,,,,,38,141,,,,,,,1529.560059,,,,Y1,,,,10:30,,,,,,,,,,,Èý¼ä·¿,,,7,,,,,,1482.790039,,,ÄàÑÒ,,,16,Z1,1.580000043,,25.78333,,,1.8139635,117,,216,,,,1.809999943,J22,,615,7(1),10.89999962,150,,1
,16.70000076,,"Æð×êµç²â , 1.27",½­ºº,265,,,,98,,29:54:00,,,,,,,,180,,,,8.5,5.800000191,,,,,132.7000732,,,°Í21,,,,,4.7566667,,,,,1.27,,J1,,,,,38,141,,,,,,,1662.160034,,,,Y1,,,,8:30,,,,,,,,,,,Î÷É½Ò¤,,,8,,,,,,1529.459961,,,ÄàÑÒ,,,17,Z1,1.580000043,,29.9,,,4.43812954,117,,216,,,,4.440000057,J22,,615,8(1),10.89999962,150,,1
,8.699999809,,"Æð×êÈ¡ÐÄ , 1.28",½­ºº,259,,,,98,,5:03,,,,,,,,180,,,,11.75,7.400000095,,,,,22.93994141,,,°Í21,,,,,5.35375,,,,,1.27,,J1,,,,,38,142,,,,,,,1685.099976,,,,Y1,,,,11:45,,,,,,,,,,,Î÷É½Ò¤,,,9,,,,,,1662.160034,,,ÄàÑÒ+É°ÑÒ,,,15,Z1,1.580000043,,5.05,,,4.542562655,117,,216,,,,4.539999962,J22,,319,9(1),6.300000191,50,,1
,4.300000191,,"À©ÑÛ×ê½ø , 1.25",½­ºº,206,,,,98,,6:40,,,,,,,,180,,,,9,7.5,,,,,4.200073242,,,°Í21,,,,0:30,4.7566667,,,,,1.25,,J1,,,,,38,16,,,,,,,1741.050049,,,,Y1,,,,9:00,,,,,,,,,,,Î÷É½Ò¤,,,10,,,,,,1736.849976,,,ÄàÑÒ,,,11,Z1,1.580000043,,6.6666,,,0.630017287,117,,216,,,,0.629999995,J22,,157,7(2),3.099999905,30,,1
,4.300000191,,"À©ÑÛ×ê½ø , 1.26",½­ºº,206,,,,98,,0:30,,,,,,,,180,,,,7.833333,7.5,,,,,1.159912109,,,°Í21,,,,2:40,4.7566667,,,,,1.25,,J1,,,,,38,16,,,,,,,1752.939941,,,,Y1,,,,7:50,,,,,,,,,,,Î÷É½Ò¤,,,11,,,,,,1751.780029,,,ÄàÑÒ,,,11,Z1,1.580000043,,0.5,,,2.319824219,67,,216,,,,2.319999933,J22,,157,7(3),3.099999905,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.26",½­ºº,206,,,,98,,17:03,,,,,,,,180,,,,7.416666,7.5,,,,,16.59997559,,,°Í21,,,,1:00,4.7566667,,,,,1.26,,J2,,,,,38,16,,,,,,,1778.859985,,,,Y2,,,,7:25,,,,,,,,,,,Î÷É½Ò¤,,,12,,,,,,1762.26001,,,ÄàÑÒ,,,11,Z1,1.580000043,,17.05,,,0.973605606,67,,216,,,,0.920000017,J22,,157,7(4),3.099999905,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.27",½­ºº,265,,,,98,,11:17,,,,,,,,180,,,,9.666666,9.399999619,,,,,41.4699707,,,°Í21,,,,6:00,3.4028571,,,,,1.27,,J1,,,,,38,141,,,,,,,1896.819946,,,,Y1,,,,9:40,,,,,,,,,,,Î÷É½Ò¤,,,13,,,,,,1855.349976,,,É°ÑÒ,,,16,Z1,1.580000043,,11.283333,,,3.675329861,117,,216,,,,3.680000067,J22,,615,8(2),5.900000095,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.28",½­ºº,265,,,,98,,8:20,,,,,,,,180,,,,9.5,9.5,,,,,25.91003418,,,°Í21,,,,2:30,5.35375,,,,,1.27,,J3,,,,,38,141,,,,,,,1954.410034,,,,Y2,,,,9:30,,,,,,,,,,,Î÷É½Ò¤,,,14,,,,,,1928.5,,,ÄàÑÒ+É°ÑÒ,,,17,Z1,1.580000043,,8.33333,,,3.109205345,117,,216,,,,3.109999895,J22,,615,8(3),5.900000095,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.29",½­ºº,265,,,,98,,8:54,,,,,,,,180,,,,10,10.5,,,,,29.7199707,,,°Í21,,,,2:50,3.4028571,,,,,1.29,,J1,,,,,38,141,,,,,,,2015.619995,,,,Y1,,,,10:00,,,,,,,,,,,Î÷É½Ò¤,,,15,,,,,,1985.900024,,,É°ÑÒ,,,18,Z1,1.580000043,,8.9,,,3.339322551,117,,216,,,,3.339999914,J22,,615,9(2),5.699999809,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.28",½­ºº,265,,,,98,,3:55,,,,,,,,180,,,,12.5,10.5,,,,,15.9699707,,,°Í21,,,,1:10,3.4028571,,,,,1.29,,J1,,,,,38,141,,,,,,,2041.319946,,,,Y1,,,,12:30,,,,,,,,,,,Î÷É½Ò¤,,,16,,,,,,2025.349976,,,É°ÑÒ,,,18,Z1,1.580000043,,3.91666,,,4.077446269,117,,216,,,,4.070000172,J22,,615,9(3),5.699999809,150,,1
,16.70000076,,"À©ÑÛ×ê½ø , 1.28",½­ºº,265,,,,98,,3:14,,,,,,,,180,,,,9.5,10.5,,,,,10.85009766,,,°Í21,,,,2:30,3.4028571,,,,,1.28,,J2,,,,,38,141,,,,,,,2060.050049,,,,Y3,,,,9:30,,,,,,,,,,,Î÷É½Ò¤,,,17,,,,,,2049.199951,,,É°ÑÒ,,,18,Z2,1.580000043,,3.23333,,,3.355703766,117,,216,,,,3.359999895,J22,,615,9(4),5.699999809,150,,1
