JH,RQ,JS 井深,JC 进尺,ZY 钻压,ZS 转速,PL 排量,BYY 泵压,MD 密度,ND 粘度,ZTGF 钻头规范(直径),NBHD,QL10F,HSL 含沙量,CZJSJ 纯钻进时间,QXZSJ 起下钻时间,JDGSJ 接单根时间,HYSJ 划眼时间,HZTSJ 换钻头时间,XHNJSJ 循环泥浆时间,ZTCSSJ,CJSJ,GJSJ 测井时间,SZGSJ,CLNJSJ,SYSJ,FZGZSJ,SGSJ,XLSJ,ZZTGSJ,ZRTGSJ,CLFZSJ,QTSJ,BRZYGZ,PHZ,DC,YXMS,SCGC,CZWT,LXJSYSJ,CY,JY,MT,TF,ZJSD,ZJSS,JHR,ZBR,HBR,SBR,ZTXH,ZTCC,ZTLX,CJ,JG,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,XRJS,QCJS,SZDC,LJJC,LJSJ,ZTXH1,ZTCC1,ZTLX1,CJ1,JG1,PZZJ11,PZZJ21,PZZJ31,PZZJ41,PZZJ51,XRJS1,QCJS1,SZDC1,LJJC1,LJSJ1,ZTBH,ZTBH1,XJ0,XJ1,XJ,SCSJ,FSCSJ,XTGSJ,HNSJ,SYSJ1
连6,1996-03-19,59.81999969,172.1299973,,92,60,10,1.149999976,,375*HP2S,,,0,00:50,,01:20,,,,,,,,,,,,,,,09:50,,接单根配泥浆钻进加重本日21:00-开,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:10,2:10,9:50,,,
连6,1996-03-20,231.9499969,77.55000305,50,127,60,10,1.220000029,160,375*HP2S,,,,13:35,,02:20,,,,,,,,,,02:05,,,,,06:00,,配浆加重钻进换冲管钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:55,18:00,6:00,,,
连6,1996-03-21,309.5,0,50,127,60,10,1.210000038,160,375*HP2S,,,,06:25,,00:40,,,,,,16:55,,,,,,,,,,,钻进循环钻起钻下套管下钻循环固井起钻装井口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:05,24:00,0:00,,,
连6,1996-03-22,309.5,114.6600037,,,,,,,,,,,,,,,,,,,24:00,,,,,,,,,,,侯凝装井口，整改设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00,24:00,0:00,,,
连6,1996-03-23,424.1600037,276.7900085,100,127,32,17.5,1.090000033,30,216J22,,,0.300000012,07:10,,01:05,,,,,,15:05,,,,00:40,,,,,,,钻水泥赛下钻传达设计试压钻水泥赛，钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
连6,1996-03-24,700.9500122,428.6499634,120,127,32,17.5,1.110000014,31,216J22,,,0.5,12:45,4:45,3:50,,0:30,,,,,,,,0:50,,,,,1:20,,钻进起钻检查钻具，整改电路，起钻环钻头，下钻钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:50,22:40,1:20,,,
连6,1996-03-25,1129.599976,172.8000488,120,127,32,18,1.120000005,42,216J22,,,0.400000006,19:35,,03:45,,,,,,,,,,00:40,,,,,,,钻进，清锥形池，钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:20,24:00,0:00,,,
连6,1996-03-26,1302.400024,95.31994629,120,127,32,18,1.120000005,40,216J22,,,0.400000006,17:50,,03:20,,,,,,,,,,02:50,,,,,,,钻进，换保护接头，单点测斜钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:10,24:00,0:00,,,
连6,1996-03-27,1397.719971,128.3200684,120,127,32,16,1.120000005,41,216J22,,,0.400000006,10:50,9:00,1:35,,0:30,2:00,,,,,,,0:05,,,,,,,循环起钻环钻头，下钻走合钻进,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:55,24:00,0:00,,,
连6,1996-03-28,1526.040039,17.67993164,120,127,32,16,1.120000005,39,216J22,,,0.300000012,15:05,04:00,01:50,,,01:45,,,,,,,01:20,,,,,,,钻井单点测斜，修气路钻进循环观察，钻进起钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:40,24:00,0:00,,,
