BRZYGZ,BSML,BYY,BZ,CJ,CJL,CJSJ,CLFZSJ,CLNJSJ,CS,CY,CZJSJ,CZWT,DC,DS300Z,DS3Z,DS600Z,FSCSJ,FZGZSJ,GJ,GJSJ,GLLYL,HBR,HJQXZSJ,HKYH,HNSJ,HSL,HYSJ,HZTSJ,JC,JDGSJ,JG,JH,JHR,JS,JY,KHYSJ,KZX,LJJC,LJSJ,LXJSYSJ,MBWQS,MD,MMZS,MSZJ,MT,NBHD,ND,PHZ,PL,PSSD,PZS,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,QCJS,QL10F,QTSJ,QXCW,QXDHTZ,QXGJ,QXJC,QXQSJS,QXZSJ,QXZZJS,QYS,RQ,SBR,SCGC,SCSJ,SGSJ,SHL,SHLDDYY,SYSJ,SZDC,SZGSJ,TF,XH,XHNJSJ,XJ,XJ0,XJ1,XLSJ,XRJS,XTGSJ,YXCD,YXMS,YXZJ,ZBR,ZBY,ZCMS,ZGSFSD,ZJSD,ZJSJHJ,ZJSS,ZRTGSJ,ZS,ZS1,ZTBH,ZTCC,ZTCJ,ZTCSSJ,ZTGF,ZTJJZS,ZTLX,ZTSFSD,ZTSML,ZTXH,ZTYJ,ZY,ZZTGSJ,1
,3.5,,T:1.11,四川,233.9700012,,,,121,,18:36,,,,,,,,180,,,,2.5,7.5,,,,,73.45999908,,,巴21,,,,,4.7566667,,,,,1.13,,J3,,,,,63,114,,,,,,,73.45999908,,,,Y4,,,,2:30,,,,,,,,,,,西城,,,1,,,,,,0,,,泥岩,,,13,Z2,0.400000006,,16.6,,,4.42530115,67,,444.5,,,,3.950000048,P3,,547,1,8.800000191,80,,1
,3.599999905,,1.17,,248.6999969,,,,121,,27:22:00,,,,,,,,180,,,,3.5,2.599999905,,,,,207.5400009,,,巴21,,,,1:00,4.7566667,,,,,1.13,,J1,,,,,63,121,,,,,,,281,,,,Y1,,,,3:30,,,,,,,,,,,火焰山,,,2,,,,,,73.45999908,,,泥岩,,,15,Z1,0.400000006,,27.3666,,,7.583696949,117,,444.5,,,,7.579999924,X22,,584,2,12.30000019,150,,1
,6.300000191,,1.33,江汉,250.1000061,,,,121,,38:52:00,,,,,,,,180,,,,3.15,3,,,,,473,,,巴21,,,,1:00,4.7566667,,,,,1.33,,J1,,,,,60,137,,,,,,,754,,,,Y1,,,,3:09,,,,,,,,,,,齐古组,,,3,,,,,,281,,,泥岩,,,18,Z1,1,,38.86666,,,12.16981341,117,,311,,,,12.17000008,J11,,482,3,15.10000038,150,,1
,6.099999905,,1.37,江汉,218,,,,121,,56:26:00,,,,,,,,180,,,,7.83333,13.10000038,,,,,254,,,巴21,,,,,4.7566667,,,,,1.39,,J1,,,,,60,124,,,,,,,1008,,,,Y1,,,,7:50,,,,,,,,,,,七客台,,,4,,,,,,754,,,泥岩,,,18,Z2,1,,56.43333,,,4.500886267,206,,311,,,,4.489999771,J22,,476,4,5.5,200,,1
,5.900000095,,1.38,江汉,219,,,,121,,13:19,,,,,,,,180,,,,10.5,12.80000019,,,,,95.31005859,,,巴21,,,,,4.7566667,,,,,1.37,,J1,,,,,60,123,,,,,,,1103.310059,,,,Y1,,,,10:30,,,,,,,,,,,七客台,,,5,,,,,,1008,,,泥岩,,,19,Z1,1,,13.316666,,,7.157201254,206,,311,,,,7,J11,,474,5,6.099999905,200,,1
,16.22999954,,1.27,江汉,266,,,,98,,75:21:00,,,,,,,,180,,,,6.5,6.400000095,,,,,381.4799805,,,巴21,,,,,4.7566667,,,,,1.37,,J2,,,,,38,142,,,,,,,1482.790039,,,,Y2,,,,6:30,,,,,,,,,,,三间房,,,6,,,,,,1101.310059,,,泥岩,,,18,Z1,1.580000043,,75.35,,,5.062773463,117,,216,,,,5.059999943,J22,,613,6,12.10000038,150,,1
,16.70000076,,"侧斜起钻 , 1.27",江汉,265,,,,98,,25:47:00,,,,,,,,180,,,,10.5,5.699999809,,,,,46.77001953,,,巴21,,,,2:30,4.7566667,,,,,1.24,,J1,,,,,38,141,,,,,,,1529.560059,,,,Y1,,,,10:30,,,,,,,,,,,三间房,,,7,,,,,,1482.790039,,,泥岩,,,16,Z1,1.580000043,,25.78333,,,1.8139635,117,,216,,,,1.809999943,J22,,615,7(1),10.89999962,150,,1
,16.70000076,,"起钻电测 , 1.27",江汉,265,,,,98,,29:54:00,,,,,,,,180,,,,8.5,5.800000191,,,,,132.7000732,,,巴21,,,,,4.7566667,,,,,1.27,,J1,,,,,38,141,,,,,,,1662.160034,,,,Y1,,,,8:30,,,,,,,,,,,西山窑,,,8,,,,,,1529.459961,,,泥岩,,,17,Z1,1.580000043,,29.9,,,4.43812954,117,,216,,,,4.440000057,J22,,615,8(1),10.89999962,150,,1
,8.699999809,,"起钻取心 , 1.28",江汉,259,,,,98,,5:03,,,,,,,,180,,,,11.75,7.400000095,,,,,22.93994141,,,巴21,,,,,5.35375,,,,,1.27,,J1,,,,,38,142,,,,,,,1685.099976,,,,Y1,,,,11:45,,,,,,,,,,,西山窑,,,9,,,,,,1662.160034,,,泥岩+砂岩,,,15,Z1,1.580000043,,5.05,,,4.542562655,117,,216,,,,4.539999962,J22,,319,9(1),6.300000191,50,,1
,4.300000191,,"扩眼钻进 , 1.25",江汉,206,,,,98,,6:40,,,,,,,,180,,,,9,7.5,,,,,4.200073242,,,巴21,,,,0:30,4.7566667,,,,,1.25,,J1,,,,,38,16,,,,,,,1741.050049,,,,Y1,,,,9:00,,,,,,,,,,,西山窑,,,10,,,,,,1736.849976,,,泥岩,,,11,Z1,1.580000043,,6.6666,,,0.630017287,117,,216,,,,0.629999995,J22,,157,7(2),3.099999905,30,,1
