BSML,CJL,CS,DS300Z,DS3Z,DS600Z,GJ,GLLYL,HKYH,JC,JS,XRJS,KZX,MD,ND,PL,PSSD,PZS,PZZJ1,PZZJ2,QCJS,QL10F,QXJC,QXQSJS,HJQXZSJ,SHL,YXCD,YXZJ,ZBY,ZGSFSD,ZJSJHJ,ZS1,ZTJJZS, ZTCC,ZTSFSD,ZTSML,ZTYJ,ZY,ZS
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"3,200",-1
3.5,233.9700012,121,,,,180,,7.5,73.45999908,0,0,4.7566667,1.13,,63,114,,,,73.45999908,,,,2.5,,,,13,0.400000006,16.6,67,3.950000048,444.5,,547,8.800000191,80,4.42530115
3.599999905,248.6999969,121,,,,180,,2.599999905,207.5400009,73.45999908,73.45999908,4.7566667,1.13,,63,121,,,,281,,,,3.5,,,,15,0.400000006,27.3666,117,7.579999924,444.5,,584,12.30000019,150,7.583696949
6.300000191,250.1000061,121,,,,180,,3,473,281,281,4.7566667,1.33,,60,137,,,,754,,,,3.15,,,,18,1,38.86666,117,12.17000008,311,,482,15.10000038,150,12.16981341
6.099999905,218,121,,,,180,,13.10000038,254,754,754,4.7566667,1.39,,60,124,,,,1008,,,,7.83333,,,,18,1,56.43333,206,4.489999771,311,,476,5.5,200,4.500886267
5.900000095,219,121,,,,180,,12.80000019,95.31005859,1008,1008,4.7566667,1.37,,60,123,,,,1103.310059,,,,10.5,,,,19,1,13.316666,206,7,311,,474,6.099999905,200,7.157201254
16.22999954,266,98,,,,180,,6.400000095,381.4799805,1101.310059,1101.310059,4.7566667,1.37,,38,142,,,,1482.790039,,,,6.5,,,,18,1.580000043,75.35,117,5.059999943,216,,613,12.10000038,150,5.062773463
16.70000076,265,98,,,,180,,5.699999809,46.77001953,,,4.7566667,1.24,,38,141,,,,1529.560059,,,,10.5,,,,16,1.580000043,25.78333,117,1.809999943,216,,615,10.89999962,150,1.8139635
16.70000076,265,98,,,,180,,5.800000191,132.7000732,,,4.7566667,1.27,,38,141,,,,1662.160034,,,,8.5,,,,17,1.580000043,29.9,117,4.440000057,216,,615,10.89999962,150,4.43812954
8.699999809,259,98,,,,180,,7.400000095,22.93994141,,,5.35375,1.27,,38,142,,,,1685.099976,,,,11.75,,,,15,1.580000043,5.05,117,4.539999962,216,,319,6.300000191,50,4.542562655
4.300000191,206,98,,,,180,,7.5,4.200073242,,,4.7566667,1.25,,38,16,,,,1741.050049,,,,9,,,,11,1.580000043,6.6666,117,0.629999995,216,,157,3.099999905,30,0.630017287
