DS300Z,DS600Z,MD,ND,PL,YXMS,ZBY,ZS1,ZY,ZS
2,2,2,2,2,-1,2,"3,190","3,130",-1
,,1.13,,63,Фрбв,13,67,80,4.42530115
,,1.13,,63,Фрбв,15,117,150,7.583696949
,,1.33,,60,Фрбв,18,117,150,12.16981341
,,1.39,,60,Фрбв,18,206,200,4.500886267
,,1.37,,60,Фрбв,19,206,200,7.157201254
,,1.37,,38,Фрбв,18,117,150,5.062773463
,,1.24,,38,Фрбв,16,117,150,1.8139635
,,1.27,,38,Фрбв,17,117,150,4.43812954
,,1.27,,38,ЩАбв+Фрбв,15,117,50,4.542562655
,,1.25,,38,Фрбв,11,117,30,0.630017287
,,1.25,,38,Фрбв,11,67,150,2.319824219
,,1.26,,38,Фрбв,11,67,150,0.973605606
,,1.27,,38,ЩАбв,16,117,150,3.675329861
,,1.27,,38,ЩАбв+Фрбв,17,117,150,3.109205345
,,1.29,,38,ЩАбв,18,117,150,3.339322551
,,1.29,,38,ЩАбв,18,117,150,4.077446269
,,1.28,,38,ЩАбв,18,117,150,3.355703766
,,1.28,,38,ЩАбв+Фрбв,18,117,170,2.61682243
,,1.26,,38,ЛвФрбв,11,67,50,0.615384615
,,1.27,,23,ЩАбв,9,67,60,0.34843871
,,1.28,,23,Фрбв,9,67,60,1.45275083
,,1.25,,23,ЩАбв+Фрбв,9,67,60,1.256287381
,,1.26,,23,Фрбв,9,67,60,2.054261852
,,1.26,,23,ЩАбв,9,67,60,1.108237592
,,1.26,,23,ЩАбв,9,67,60,0.911613218
,,1.27,,23,ЩАбв+Фрбв,9,67,50,2.487304985
,,1.28,,23,ЩАбв+Фрбв,10,67,50,1.806281932
,,1.28,,23,ЩАбв+Фрбв,10,67,50,3.427224723
,,1.05,,60,Фрбв,8,120,120,12.53493988
,,1.05,,53,Фрбв,18,120,160,18.37688442
,,1.11,,32,Фрбв,18,120,180,16.03991866
,,1.18,,32,ЩАРљбв,18,60,180,8.608142691
,,1.24,55,32,Фрбв,18,60,180,6.042253691
